,codigo,nome,cidade,estado,populacao,popAte9,popDe10a14,popDe15a19,popDe20a24,popDe25a34,popDe35a49,popDe50a59,popMaisDe60,domiciliosA1,domiciliosA2,domiciliosB1,domiciliosB2,domiciliosC1,domiciliosC2,domiciliosD,domiciliosE,rendaMedia,faturamento,potencial,total_domicilios,label
163,35503088,Água Branca,São Paulo,SP,12721,0.0749154940649,0.0269632890496,0.049288577942,0.064381730996,0.168382988759,0.222702617719,0.14071220816,0.25265309331,0.110540301151,0.118157661647,0.275996457042,0.182816651904,0.162090345438,0.0639503985828,0.014880425155,0.0715677590788,6278.0,1201059.125,Alto,5645,5
171,35503048,Ana Rosa,São Paulo,SP,24889,0.0580979549198,0.0265579171522,0.0552051106915,0.0689461207762,0.195307163807,0.217807063361,0.154043955161,0.224034714131,0.0882666666667,0.139644444444,0.3224,0.134488888889,0.126755555556,0.0488888888889,0.0180444444444,0.121511111111,6075.0,1449000.375,Alto,11250,5
186,35503071,Bosque Da Saúde,São Paulo,SP,32212,0.0864274183534,0.034800695393,0.056066062337,0.0565627716379,0.165900906494,0.244970818329,0.152210356389,0.203060971067,0.104316269014,0.14107018763,0.266388695854,0.148482742645,0.113118678094,0.056752374334,0.0104239054899,0.159447146938,7899.0,1449012.25,Alto,12951,5
207,355030151,Ceasa,São Paulo,SP,7786,0.120601078859,0.046493706653,0.0720524017467,0.102620087336,0.273054199846,0.238890315952,0.0759054713588,0.0703827382481,0.0771312584574,0.152458276951,0.182679296346,0.100586377988,0.124943617501,0.183581416328,0.0293188994136,0.149300857014,5403.0,1115994.25,Medio,2217,5
212,355030203,Chácara Santo Antônio,São Paulo,SP,6320,0.0875,0.0340189873418,0.0514240506329,0.0488924050633,0.180379746835,0.227689873418,0.134018987342,0.236075949367,0.105410821643,0.166733466934,0.30380761523,0.162324649299,0.117835671343,0.048496993988,0.0184368737475,0.0769539078156,7818.0,1133203.75,Medio,2495,5
220,355030219,Cidade Universitária,São Paulo,SP,4846,0.0495253817582,0.0253817581511,0.0685101114321,0.145274453157,0.275897647544,0.195625257945,0.130210482872,0.10957490714,0.143875567077,0.162670123137,0.274141283215,0.145819831497,0.0874918988983,0.0388852883992,0.0,0.147116007777,7179.0,1118396.25,Medio,1543,5
222,35503078,Clínicas,São Paulo,SP,22119,0.053302590533,0.0202088702021,0.040598580406,0.0736470907365,0.237668972377,0.213526832135,0.143180071432,0.217866992179,0.132622488544,0.12909763835,0.316619668664,0.146457525555,0.0837151921043,0.0461755375397,0.0,0.145311949242,8728.0,1422507.375,Alto,11348,5
226,35503025,Consolação,São Paulo,SP,30584,0.0413941930421,0.0205009155114,0.0584619408841,0.113327229924,0.215177870782,0.214360449908,0.133272299241,0.203505100706,0.0657243394764,0.0991829188287,0.269159658854,0.181368163655,0.151547682949,0.0817081171348,0.0101986044015,0.141110514701,5516.0,1415453.875,Alto,16767,5
243,355030204,Granja Julieta,São Paulo,SP,29609,0.0728832449593,0.0316120098619,0.0554898848323,0.0513019689959,0.134418588943,0.222364821507,0.150325914418,0.281603566483,0.12163314013,0.161524036822,0.329611319468,0.16578588476,0.100153426526,0.0377599727242,0.0160245482441,0.0675076713263,8432.0,1496478.75,Alto,11732,5
281,355030215,Jardim Jussara,São Paulo,SP,21892,0.101635300566,0.045359035264,0.0748218527316,0.0644527681345,0.161246117303,0.247716060661,0.130047505938,0.174721359401,0.0746324445552,0.112758534762,0.306628457513,0.164963867431,0.145402442063,0.103289309743,0.00286568651881,0.0894592574134,5569.0,1363435.875,Alto,8026,5
